이름,선거구,정당,당선횟수,이메일,홈페이지,전화번호,의원번호
고용진,노원구갑,더불어민주당,초선( 20대 ),gogoyongjin@naver.com,http://blog.naver.com/kohyj64,02-784-4840,10101
우원식,노원구을,더불어민주당,"3선( 17대 , 19대 , 20대 )",reform1-1@hanmail.net,http:/우원식.kr,02-784-3601,10102
김병기,동작구갑,더불어민주당,초선( 20대 ),,,02-784-1322,10201
나경원,동작구을,자유한국당,"4선  17대, 18대, 19대, 20대)",nakw@na.go.kr,http://blog.naver.com/nakw63,02-784-3103,10202
우상호,서대문구갑,더불어민주당,"3선( 17대 , 19대 , 20대 )",wsh2016v@gmail.com,http://www.woosangho.net,02-784-3071,10301
김영호,서대문구을,더불어민주당,초선( 20대 ),kim-youngho@naver.com,,02-784-4020,10302
유승희,성북구갑,더불어민주당,"3선( 17대 , 19대 , 20대 )",337ysh@naver.com,http://www.yoush.org/,02-784-4091,10401
기동민,성북구을,더불어민주당,초선( 20대 ),,,02-784-3181,10402
홍익표,중구성동구갑,더불어민주당,"재선( 19대, 20대 )",peace@peacehong.net,http://www.peacehong.net,02-784-6887,10501
지상욱,중구성동구을,바른정당,초선( 20대 ),,,02-784-9640,10502
